2024-08-07 10:35:21.3943 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:35:21.4141 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6089 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:09.6278 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:37:12.0780 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.1447 Info - SupportBank.Program: Program runs
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:46:21.2041 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.8065 Debug - SupportBank.Program: 
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:48:39.9098 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.4704 Debug - SupportBank.Program: Program starts
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:49:08.5235 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:05.9722 Debug - SupportBank.Program: Program starts
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0523 Info - SupportBank.Program: Created Transaction List
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
2024-08-07 10:53:06.0728 Info - SupportBank.Account: Created Transaction Lent list
